Effective Date,,ABC Intl Hldg,ABN AMRO,AIB,ALLIANCE BERNSTE,AmInvestment,Amundi AM,ANZ Bank,Bank NZ,Bank of China,Bank Permata,Barclays,BayernLB,BBVA,Berenberg,Bidv Securities,Bkhaus Lampe,BMO,BNP Paribas,BOC China,BOCIL,BofAML,BOQ,Brown Brothers,CA CIB,CaixaBank,Capital Econ,Capital Secs,Capitalstars,CBA Ltd,CDBS,CEBM,Centrum Capital,CGB,Changjiang Secs,Chengtong Securi,China Securities,ChinaMrchntBank,ChinaReform Sec,CIBC,CINDA SECURITIES,CITIC Secs Intl,CITIC Securities,Citigroup,CN MERCHANT,Commerzbank UK,Continuum Econ,Contributors,Credit Suisse,D n B,Daiwa Cap Mkts,Danske Bk,DBFI,DBS Bank,DekaBank,Desjardins Group,Deutsche Bank,DZ Bank,EBSCN,Edelweiss,Emirates NBD,Eurobank Hldgs,Federal Bank,Founder Fincg,Founder Secs,Generali Investments,Goldman Sachs,Handelsbanken,HC Securities,HDFC Bank,Helaba,Hiltop,HSBC Hldg,HT Securities,HTSC,Hwabao Trust,ICICI Bank,IG Markets,IHS Global,India Forex,Industrial Sec,Industril Bank,Informa Global,ING Fin Mkts,Intesa Sanpaolo,Inventure,Investec,J. Safra Sarasin,JP Morgan,Julius Baer,Jyske Bank,Kasikornbank,KBC Economics,Krung Thai Bank,LBBW,Lianxun Secs,Lloyds Bank UK,Macquarie Group,Maplecroft.Net,Maybank Inv Bnk,Minsheng Sec,Mizuho Bank Ltd,Mizuho Secs,Monex Europe,Moody's Analytics,Morgan Stanley,MUFG,NAB,Natixis,Natl Bk Canada,NatWest Markets,Nomura,NORD Landbk,Nordea,Northern Trust,Nykredit Markets,OCBC,Pantheon,Piramal,PNC Finl Svc,Postbank,Punjab Natl Bank,Rabobank,Raiffeisen Intl,RBC,RBL Bank,Refinitiv - IFR Markets,Renaissance,RGE,RMB,Samsung Futures,Saxo Bank,Schroders,Scotiabank,SCS,Shanghai Secs,Shinhan Bank,Siam Comm Bank,Sinolink Secs,Skand Ensk Bank,Societe Generale,St George Bank,Standard Bk,Standard Chartered,Swedbank AB,SWSC,TC Bank,TD,TD Securities (USA) LLC,TMB Bank,UBS,UCO Bank,Uni Credit,Union Bank PH,UOB,Vadilal Forex,VTB-Capital,Wells Fargo,Westpac,Yingda Secs,ZHESHANG SECS,ZKB
2022/12/30,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022/11/30,2,#N/A,0.4066,#N/A,#N/A,#N/A,#N/A,0.2566,#N/A,#N/A,#N/A,0.3566,#N/A,#N/A,0.5766,#N/A,0.2766,0.4566,#N/A,#N/A,#N/A,0.3566,#N/A,#N/A,#N/A,#N/A,0.2266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1766,#N/A,0.5566,0.1266,#N/A,#N/A,0.4466,0.4266,0.3466,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3966,#N/A,0.2266,0.2766,0.4266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2266,0.4966,#N/A,0.2266,0.4266,#N/A,#N/A,#N/A,#N/A,0.2266,0.3266,#N/A,#N/A,#N/A,#N/A,0.2266,0.5266,0.2566,#N/A,#N/A,#N/A,#N/A,0.4566,0.2766,0.6366,#N/A,#N/A,0.3766,0.4466,#N/A,#N/A,#N/A,#N/A,0.2466,#N/A,#N/A,#N/A,0.2766,#N/A,0.5066,0.3266,0.3166,0.1266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3266,0.2266,#N/A,0.5266,#N/A,0.2766,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4266,#N/A,#N/A,#N/A,#N/A,0.3966,#N/A,#N/A,0.5266,0.2266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2766,#N/A,0.2066,#N/A,#N/A,0.3766,#N/A,#N/A,#N/A,0.2266
2022/10/31,3,#N/A,#N/A,0.6015,#N/A,#N/A,#N/A,0.6215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5815,#N/A,#N/A,0.5515,#N/A,#N/A,#N/A,0.4315,#N/A,#N/A,#N/A,#N/A,0.4015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4515,#N/A,#N/A,0.4015,#N/A,#N/A,0.5215,0.8015,0.5915,#N/A,#N/A,#N/A,#N/A,#N/A,0.4515,#N/A,0.4715,#N/A,#N/A,#N/A,0.5015,#N/A,#N/A,0.5015,#N/A,#N/A,#N/A,#N/A,#N/A,0.5515,0.8715,#N/A,#N/A,0.6015,#N/A,#N/A,#N/A,#N/A,0.4515,#N/A,#N/A,#N/A,#N/A,#N/A,0.4515,0.4715,0.6715,#N/A,#N/A,#N/A,#N/A,0.5315,0.6015,0.7115,#N/A,#N/A,0.6515,0.5115,#N/A,#N/A,#N/A,#N/A,0.5715,#N/A,#N/A,0.6015,0.5015,#N/A,0.5115,0.6715,0.4015,#N/A,#N/A,0.6715,#N/A,#N/A,#N/A,#N/A,#N/A,0.5615,#N/A,#N/A,0.6515,0.5015,#N/A,0.6015,#N/A,0.3515,#N/A,#N/A,#N/A,#N/A,0.7615,#N/A,#N/A,#N/A,#N/A,#N/A,0.6015,#N/A,#N/A,#N/A,0.7015,#N/A,#N/A,#N/A,0.6715,0.5515,#N/A,#N/A,#N/A,0.5315,#N/A,#N/A,#N/A,0.6815,#N/A,0.4815,#N/A,#N/A,0.5315,0.8215,#N/A,#N/A,0.4015
2022/9/30,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5135,#N/A,#N/A,#N/A,0.2135,#N/A,0.2635,#N/A,#N/A,#N/A,0.3935,#N/A,#N/A,#N/A,0.3135,#N/A,#N/A,#N/A,#N/A,0.2135,#N/A,#N/A,0.3135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4135,0.2135,#N/A,#N/A,0.4135,0.5135,0.4135,0.3135,#N/A,#N/A,#N/A,#N/A,0.2635,#N/A,0.2635,#N/A,0.3635,#N/A,0.3135,#N/A,#N/A,0.3135,#N/A,#N/A,#N/A,#N/A,#N/A,0.3635,0.6735,#N/A,#N/A,0.4135,#N/A,#N/A,#N/A,#N/A,0.3135,0.4135,#N/A,#N/A,#N/A,#N/A,0.3135,#N/A,0.3335,#N/A,#N/A,#N/A,#N/A,0.3635,0.4135,#N/A,#N/A,#N/A,#N/A,0.3235,#N/A,#N/A,#N/A,#N/A,0.3635,#N/A,#N/A,0.3135,0.4135,#N/A,0.2635,0.4635,0.2135,0.3435,#N/A,0.4635,#N/A,0.4935,0.2635,0.4335,#N/A,0.4335,#N/A,#N/A,#N/A,#N/A,#N/A,0.4135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5535,#N/A,#N/A,#N/A,#N/A,#N/A,0.5135,0.4135,#N/A,#N/A,0.4835,0.3135,#N/A,#N/A,0.4635,0.4635,#N/A,#N/A,#N/A,0.3635,#N/A,#N/A,#N/A,0.4635,#N/A,0.3135,#N/A,#N/A,0.4135,0.6135,#N/A,#N/A,0.2135
2022/8/31,5,#N/A,0.289,0.289,#N/A,#N/A,#N/A,0.259,#N/A,#N/A,#N/A,-0.011,#N/A,0.039,#N/A,#N/A,#N/A,0.209,#N/A,#N/A,#N/A,0.219,#N/A,#N/A,#N/A,#N/A,0.019,#N/A,#N/A,0.569,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.389,#N/A,#N/A,#N/A,#N/A,#N/A,-0.011,#N/A,#N/A,0.089,#N/A,#N/A,#N/A,#N/A,0.039,#N/A,0.109,#N/A,0.139,#N/A,-0.011,#N/A,#N/A,0.239,#N/A,#N/A,#N/A,#N/A,#N/A,0.139,#N/A,#N/A,0.089,0.289,#N/A,#N/A,#N/A,#N/A,-0.011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.239,#N/A,#N/A,#N/A,#N/A,#N/A,0.009,#N/A,#N/A,#N/A,#N/A,0.189,0.029,#N/A,#N/A,#N/A,#N/A,0.089,#N/A,#N/A,#N/A,0.139,#N/A,#N/A,#N/A,0.039,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.239,#N/A,#N/A,#N/A,#N/A,#N/A,0.189,#N/A,0.139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.189,0.189,0.239,#N/A,#N/A,#N/A,0.199,0.389,#N/A,#N/A,0.219,#N/A,#N/A,#N/A,#N/A,0.169,#N/A,#N/A,#N/A,0.169,#N/A,0.109,#N/A,#N/A,0.189,0.339,#N/A,#N/A,0.189
2022/7/29,6,#N/A,0.2533,#N/A,#N/A,#N/A,#N/A,0.2133,#N/A,#N/A,#N/A,0.2833,#N/A,0.1633,#N/A,#N/A,#N/A,0.2933,#N/A,#N/A,#N/A,0.1133,#N/A,#N/A,#N/A,#N/A,-0.0567,#N/A,#N/A,0.3433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3133,-0.0567,0.1233,#N/A,#N/A,#N/A,#N/A,#N/A,0.3433,#N/A,0.2233,#N/A,-0.0067,#N/A,0.4433,#N/A,#N/A,0.3333,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0067,0.3033,#N/A,0.0433,0.1433,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0233,0.0433,0.1633,#N/A,#N/A,0.0433,0.2033,#N/A,#N/A,#N/A,#N/A,-0.0867,#N/A,#N/A,0.1433,-0.0067,0.1333,0.3733,0.1433,0.3233,#N/A,-0.0567,0.2233,-0.0067,0.2433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2433,#N/A,#N/A,#N/A,0.4233,0.2733,#N/A,#N/A,0.0633,0.0933,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0733,#N/A,0.1233,#N/A,#N/A,0.1133,0.2233,#N/A,#N/A,0.0933
2022/6/30,7,#N/A,0.3981,#N/A,#N/A,#N/A,#N/A,0.3781,#N/A,#N/A,#N/A,0.3981,#N/A,#N/A,#N/A,#N/A,0.1981,0.3581,#N/A,#N/A,#N/A,0.2981,#N/A,#N/A,#N/A,#N/A,0.1681,#N/A,#N/A,0.3781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4481,#N/A,#N/A,#N/A,0.2681,#N/A,0.0981,0.3981,#N/A,#N/A,#N/A,#N/A,0.2981,#N/A,0.2181,#N/A,0.2981,0.3981,0.3981,#N/A,#N/A,0.3981,#N/A,#N/A,#N/A,#N/A,#N/A,0.3481,0.2481,#N/A,#N/A,#N/A,#N/A,0.3481,#N/A,#N/A,#N/A,0.3481,#N/A,#N/A,#N/A,#N/A,0.2781,0.2481,0.3181,#N/A,#N/A,#N/A,#N/A,0.3481,0.3481,0.2281,#N/A,#N/A,0.2981,0.1981,#N/A,#N/A,#N/A,#N/A,0.3481,#N/A,#N/A,0.0981,0.2981,0.1681,0.3481,0.2481,0.2981,0.2981,0.3481,#N/A,0.3681,0.2981,0.2981,0.2981,#N/A,0.3781,#N/A,#N/A,#N/A,#N/A,#N/A,0.2981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2981,#N/A,#N/A,#N/A,0.3181,0.2481,#N/A,#N/A,0.3481,0.3481,#N/A,#N/A,#N/A,0.2881,#N/A,#N/A,#N/A,0.3881,#N/A,0.1981,#N/A,#N/A,0.3181,0.3981,#N/A,#N/A,0.2981
2022/5/31,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3115,#N/A,#N/A,#N/A,0.3515,#N/A,0.3815,#N/A,#N/A,#N/A,0.3115,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,#N/A,0.1715,#N/A,#N/A,0.3515,0.2715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1715,0.0915,#N/A,#N/A,#N/A,#N/A,#N/A,0.2215,#N/A,0.2215,#N/A,#N/A,0.2215,0.2715,#N/A,#N/A,0.3715,#N/A,#N/A,#N/A,#N/A,#N/A,0.3215,#N/A,#N/A,#N/A,0.2715,#N/A,#N/A,#N/A,#N/A,0.3215,0.3915,#N/A,#N/A,#N/A,#N/A,0.2715,0.3215,#N/A,#N/A,#N/A,#N/A,#N/A,0.3315,#N/A,0.2015,#N/A,#N/A,0.3215,0.2215,#N/A,#N/A,#N/A,#N/A,0.3315,#N/A,#N/A,0.1215,0.3215,0.1615,#N/A,0.2715,0.2815,#N/A,#N/A,0.1715,#N/A,#N/A,#N/A,#N/A,#N/A,0.3715,#N/A,#N/A,#N/A,#N/A,#N/A,0.2715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2715,0.4215,0.3215,#N/A,#N/A,#N/A,0.2815,#N/A,#N/A,#N/A,0.3415,0.2715,#N/A,#N/A,#N/A,0.2915,#N/A,#N/A,#N/A,0.3115,#N/A,0.2415,#N/A,#N/A,0.3415,0.3515,#N/A,#N/A,0.2715
2022/4/29,9,#N/A,0.308,#N/A,#N/A,#N/A,#N/A,0.248,#N/A,#N/A,#N/A,#N/A,#N/A,0.228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.022,#N/A,#N/A,0.138,0.188,0.158,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.328,#N/A,#N/A,#N/A,#N/A,#N/A,0.038,#N/A,#N/A,#N/A,#N/A,#N/A,0.158,#N/A,0.118,#N/A,0.208,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.258,0.158,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,0.258,#N/A,#N/A,#N/A,#N/A,#N/A,0.158,#N/A,#N/A,#N/A,#N/A,#N/A,0.258,#N/A,0.198,#N/A,#N/A,0.258,#N/A,#N/A,#N/A,#N/A,#N/A,0.238,#N/A,#N/A,#N/A,0.208,6.458,0.138,0.188,0.228,#N/A,#N/A,#N/A,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.158,#N/A,0.058,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,0.288,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.228,#N/A,0.188,#N/A,#N/A,0.258,0.258,#N/A,#N/A,0.058
2022/3/31,10,#N/A,#N/A,0.0093,#N/A,#N/A,#N/A,-0.0307,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0407,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2607,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1107,#N/A,0.0393,#N/A,#N/A,#N/A,-0.0107,0.0393,-0.2107,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1107,#N/A,-0.1307,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0107,-0.1107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0607,-0.0607,#N/A,#N/A,#N/A,#N/A,-0.0807,-0.1107,-0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0707,#N/A,#N/A,0.0093,-0.1607,#N/A,#N/A,#N/A,#N/A,-0.0407,#N/A,#N/A,#N/A,-0.0607,#N/A,-0.1307,-0.0607,#N/A,#N/A,#N/A,-0.1607,#N/A,#N/A,#N/A,#N/A,#N/A,0.0093,#N/A,#N/A,#N/A,-0.2607,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0393,#N/A,-0.1107,#N/A,#N/A,#N/A,-0.0607,-0.0107,#N/A,#N/A,0.0393,-0.1107,#N/A,#N/A,-0.1107,#N/A,#N/A,#N/A,#N/A,-0.0407,#N/A,-0.0607,#N/A,#N/A,-0.0607,-0.0107,#N/A,#N/A,-0.1607
2022/2/28,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0716,#N/A,#N/A,#N/A,-0.0616,#N/A,-0.0516,#N/A,#N/A,#N/A,-0.1016,#N/A,-0.1216,#N/A,-0.2916,-0.1416,#N/A,#N/A,#N/A,-0.2916,#N/A,#N/A,-0.0916,-0.1316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0116,-0.1916,#N/A,#N/A,-0.0416,-0.0916,-0.2416,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1416,#N/A,-0.1616,#N/A,-0.0916,#N/A,-0.1416,#N/A,#N/A,0.0084,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0416,#N/A,#N/A,#N/A,-0.0916,#N/A,#N/A,#N/A,#N/A,-0.1416,-0.0716,#N/A,#N/A,#N/A,#N/A,-0.1716,-0.1416,-0.2516,#N/A,#N/A,#N/A,#N/A,-0.0416,#N/A,-0.4616,#N/A,#N/A,-0.0416,-0.1616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0084,-0.0916,#N/A,#N/A,-0.0916,-0.1616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2416,#N/A,-0.1316,#N/A,#N/A,#N/A,#N/A,-0.0416,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1416,-0.0916,#N/A,#N/A,-0.0816,-0.0416,#N/A,#N/A,-0.1916,-0.1416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1116,#N/A,#N/A,#N/A,#N/A,-0.1116,-0.0416,#N/A,#N/A,-0.1916
