,Effective Date,1M,3M,6M,1Y,Actual,,1M-3M,3M-6M,6M-1Y,Actual-1M,Actual-3M,Actual-6M
,31/10/2022,7.12,6.71,6.55,6.4,7.3015,,0.41,0.16,0.15,0.1815,0.5915,0.7515
,30/9/2022,6.89,6.72,6.39,6.45,7.1135,,0.17,0.33,-0.06,0.2235,0.3935,0.7235
,31/8/2022,6.74,6.71,6.4,6.39,6.889,,0.03,0.31,0.01,0.149,0.179,0.489
,29/7/2022,6.71,6.58,6.42,6.37,6.7433,,0.13,0.16,0.05,0.0333,0.1633,0.3233
,30/6/2022,6.71,6.37,6.42,6.38,6.6981,,0.34,-0.05,0.04,-0.0119,0.3281,0.2781
,31/5/2022,6.59,6.38,6.45,6.37,6.6715,,0.21,-0.07,0.08,0.0815,0.2915,0.2215
,29/4/2022,6.36,6.39,6.44,6.43,6.608,,-0.03,-0.05,0.01,0.248,0.218,0.168
,31/3/2022,6.35,6.4,6.48,6.44,6.3393,,-0.05,-0.08,0.04,-0.0107,-0.0607,-0.1407
,28/2/2022,6.38,6.42,6.43,6.39,6.3084,,-0.04,-0.01,0.04,-0.0716,-0.1116,-0.1216
,31/1/2022,6.37,6.44,6.41,6.41,6.3605,,-0.07,0.03,0,-0.0095,-0.0795,-0.0495
,31/12/2021,6.39,6.47,6.39,6.45,6.3521,,-0.08,0.08,-0.06,-0.0379,-0.1179,-0.0379
,30/11/2021,6.42,6.47,6.37,6.53,6.364,,-0.05,0.1,-0.16,-0.056,-0.106,-0.006
,29/10/2021,6.47,6.44,6.44,6.74,6.405,,0.03,0,-0.3,-0.065,-0.035,-0.035
,30/9/2021,6.47,6.42,6.46,6.78,6.4452,,0.05,-0.04,-0.32,-0.0248,0.0252,-0.0148
,31/8/2021,6.46,6.4,6.4,6.88,6.4604,,0.06,0,-0.48,0.0004,0.0604,0.0604
,30/7/2021,6.44,6.48,6.43,6.95,6.4609,,-0.04,0.05,-0.52,0.0209,-0.0191,0.0309
,30/6/2021,6.4,6.49,6.46,7.02,6.4566,,-0.09,0.03,-0.56,0.0566,-0.0334,-0.0034
,31/5/2021,6.48,6.43,6.55,7,6.3688,,0.05,-0.12,-0.45,-0.1112,-0.0612,-0.1812
,30/4/2021,6.53,6.43,6.73,6.98,6.473,,0.1,-0.3,-0.25,-0.057,0.043,-0.257
,31/3/2021,6.46,6.48,6.79,6.97,6.5518,,-0.02,-0.31,-0.18,0.0918,0.0718,-0.2382
,28/2/2021,6.45,6.56,6.89,7.01,6.473,,-0.11,-0.33,-0.12,0.023,-0.087,-0.417
,31/1/2021,6.47,6.77,7,6.98,6.425,,-0.3,-0.23,0.02,-0.045,-0.345,-0.575
,31/12/2020,6.56,6.83,7.07,7.04,6.525,,-0.27,-0.24,0.03,-0.035,-0.305,-0.545
,30/11/2020,6.72,6.91,7.08,7.08,6.576,,-0.19,-0.17,0,-0.144,-0.334,-0.504
,30/10/2020,6.83,7.01,7.04,7.14,6.6919,,-0.18,-0.03,-0.1,-0.1381,-0.3181,-0.3481
,30/9/2020,6.89,7.09,7.03,7.19,6.7896,,-0.2,0.06,-0.16,-0.1004,-0.3004,-0.2404
,31/8/2020,6.99,7.11,7.01,7.14,6.8474,,-0.12,0.1,-0.13,-0.1426,-0.2626,-0.1626
,31/7/2020,7.07,7.07,6.99,7.09,6.9744,,0,0.08,-0.1,-0.0956,-0.0956,-0.0156
,30/6/2020,7.12,7.07,7.04,6.83,7.0651,,0.05,0.03,0.21,-0.0549,-0.0049,0.0251
,29/5/2020,7.08,7,7.09,6.82,7.1348,,0.08,-0.09,0.27,0.0548,0.1348,0.0448
,30/4/2020,7.08,6.99,7.14,6.73,7.06,,0.09,-0.15,0.41,-0.02,0.07,-0.08
,31/3/2020,7.01,7.01,7.19,6.69,7.0808,,0,-0.18,0.5,0.0708,0.0708,-0.1092
,28/2/2020,6.99,7.08,7.16,6.72,6.9906,,-0.09,-0.08,0.44,0.0006,-0.0894,-0.1694
,31/1/2020,6.97,7.13,7.08,6.79,6.9364,,-0.16,0.05,0.29,-0.0336,-0.1936,-0.1436
,31/12/2019,7.06,7.17,6.84,6.87,6.9618,,-0.11,0.33,-0.03,-0.0982,-0.2082,0.1218
,29/11/2019,7.08,7.16,6.85,6.88,7.0308,,-0.08,0.31,-0.03,-0.0492,-0.1292,0.1808
,31/10/2019,7.14,7.09,6.73,6.87,7.0379,,0.05,0.36,-0.14,-0.1021,-0.0521,0.3079
,30/9/2019,7.15,6.88,6.72,6.88,7.1477,,0.27,0.16,-0.16,-0.0023,0.2677,0.4277
,30/8/2019,7.07,6.9,6.78,6.74,7.1543,,0.17,0.12,0.04,0.0843,0.2543,0.3743
,31/7/2019,6.87,6.72,6.84,6.67,6.8833,,0.15,-0.12,0.17,0.0133,0.1633,0.0433
,28/6/2019,6.9,6.73,6.94,6.48,6.865,,0.17,-0.21,0.46,-0.035,0.135,-0.075
,31/5/2019,6.72,6.77,6.98,6.36,6.9027,,-0.05,-0.21,0.62,0.1827,0.1327,-0.0773
,30/4/2019,6.71,6.84,6.94,6.35,6.7347,,-0.13,-0.1,0.59,0.0247,-0.1053,-0.2053
,29/3/2019,6.74,6.94,6.94,6.3,6.7112,,-0.2,0,0.64,-0.0288,-0.2288,-0.2288
,28/2/2019,6.79,6.95,6.8,6.35,6.6912,,-0.16,0.15,0.45,-0.0988,-0.2588,-0.1088
,31/1/2019,6.88,6.95,6.77,6.4,6.6958,,-0.07,0.18,0.37,-0.1842,-0.2542,-0.0742
,31/12/2018,6.91,6.94,6.55,6.63,6.8755,,-0.03,0.39,-0.08,-0.0345,-0.0645,0.3255
,30/11/2018,6.95,6.81,6.39,6.65,6.9558,,0.14,0.42,-0.26,0.0058,0.1458,0.5658
,31/10/2018,6.94,6.8,6.38,6.7,6.9737,,0.14,0.42,-0.32,0.0337,0.1737,0.5937
,28/9/2018,6.81,6.58,6.32,6.71,6.868,,0.23,0.26,-0.39,0.058,0.288,0.548
